,,Total,A1 Are you...?,,A2 What is your age?,,,,,,A3 What is your ethnic group?,,,,,,,,,,,A6 Which region or nation do you live in?,,,,,,,,,,,,"Q2 More specifically, what is the highest level of educational qualifications you have achieved?",,,,,,,,Q4 Thinking about the property you live in. Does your household own or rent this accommodation?,,,,,,,Q8 What is your religion?,,,,,,,,Q13 Were either of your parents born outside the United Kingdom?,,,A5 Were you born in the UK?,,"Q48 Some people say the following things are important for being ""truly British'.   Which of the following do you think is most important? Please select up to three. |",,,,,,,,,,,,"Q51.1_2: Q51.1 How much discrimination is there for or against the following groups? Please answer on a scale of 0 to 10, where 0 means 'none at all' and 10 means 'a significant amount'.  | Black and minority ethnic people",,,"Q51.2_2: Q51.2 How much discrimination is there for or against the following groups? Please answer on a scale of 0 to 10, where 0 means 'none at all' and 10 means 'a significant amount'.  | White people",,,"Q51.3_2: Q51.3 How much discrimination is there for or against the following groups? Please answer on a scale of 0 to 10, where 0 means 'none at all' and 10 means 'a significant amount'.  | Poor people",,,"Q51.4_2: Q51.4 How much discrimination is there for or against the following groups? Please answer on a scale of 0 to 10, where 0 means 'none at all' and 10 means 'a significant amount'.  | Old people",,,"Q51.5_2: Q51.5 How much discrimination is there for or against the following groups? Please answer on a scale of 0 to 10, where 0 means 'none at all' and 10 means 'a significant amount'.  | Young people",,,"Q51.6_2: Q51.6 How much discrimination is there for or against the following groups? Please answer on a scale of 0 to 10, where 0 means 'none at all' and 10 means 'a significant amount'.  | People on welfare benefits",,,"Q51.7_2: Q51.7 How much discrimination is there for or against the following groups? Please answer on a scale of 0 to 10, where 0 means 'none at all' and 10 means 'a significant amount'.  | LGBTQ+ people",,
"Q22 Which of these statements do you agree with the most, even if you don't agree with either entirely?",Unweighted base,3993,1736,2231,740,1016,966,694,447,130,276,148,744,677,64,683,298,563,261,197,82,253,256,1104,157,521,63,355,120,70,686,48,350,119,326,417,822,98,436,197,1578,967,580,37,994,1187,118,110,87,1417,339,11,1201,727,148,63,2595,1324,74,1062,2478,764,1363,416,832,1396,321,1355,1452,256,411,919,398,663,1390,1940,2439,1092,462,890,1769,1334,1425,1851,717,1494,1885,614,1031,1925,1037,1055,1747,1191
,Weighted base,3921,1856,2030,623,899,918,894,450,138,242,192,690,621,130,572,261,471,310,344,88,269,239,1065,131,506,69,344,108,65,701,60,353,154,382,462,855,109,387,225,1346,991,818,47,1200,676,116,72,67,1184,386,18,1415,577,169,105,2748,1090,84,1191,2258,733,1350,370,857,1400,264,1313,1480,194,357,903,400,660,1407,1853,2432,1090,399,897,1753,1271,1403,1849,669,1477,1879,565,998,1924,999,1069,1735,1116
,A person's position in society is mostly the result of elements outside their control,32%,32%,32%,42%,34%,31%,26%,32%,22%,32%,28%,28%,31%,42%,31%,35%,39%,30%,35%,35%,24%,30%,35%,27%,32%,35%,35%,38%,38%,31%,24%,32%,20%,26%,35%,36%,33%,35%,27%,32%,28%,37%,45%,32%,36%,28%,15%,38%,31%,28%,22%,32%,39%,29%,31%,30%,39%,26%,27%,36%,33%,29%,39%,32%,31%,38%,32%,32%,44%,39%,35%,28%,27%,31%,36%,31%,33%,38%,25%,33%,37%,30%,33%,36%,28%,33%,40%,27%,32%,38%,28%,31%,38%
,A person's position in society is mostly the result of individual effort,57%,58%,56%,48%,56%,59%,62%,55%,58%,56%,61%,62%,60%,46%,65%,53%,47%,44%,58%,61%,64%,61%,54%,59%,56%,41%,54%,50%,52%,60%,43%,63%,48%,59%,53%,52%,53%,56%,54%,63%,63%,49%,43%,61%,56%,52%,31%,52%,60%,63%,65%,57%,46%,65%,40%,59%,53%,27%,62%,54%,57%,63%,57%,58%,62%,57%,60%,60%,49%,56%,57%,39%,59%,58%,55%,58%,56%,52%,61%,57%,53%,60%,56%,53%,61%,55%,50%,60%,57%,52%,59%,58%,52%
,Don't know,11%,9%,12%,10%,9%,10%,11%,13%,20%,12%,12%,10%,9%,12%,4%,11%,14%,26%,6%,5%,13%,10%,10%,14%,12%,25%,11%,12%,11%,9%,33%,5%,32%,15%,13%,11%,14%,9%,20%,5%,10%,15%,12%,8%,8%,20%,55%,10%,9%,8%,13%,11%,15%,6%,29%,11%,8%,46%,11%,10%,10%,7%,4%,10%,7%,5%,8%,8%,6%,5%,8%,32%,14%,11%,9%,11%,12%,11%,14%,10%,10%,10%,11%,11%,10%,12%,10%,12%,11%,10%,13%,10%,10%
,NET,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Q23 Which of these statements do you agree with the most, even if you don't agree with either entirely?",Unweighted base,3993,1736,2231,740,1016,966,694,447,130,276,148,744,677,64,683,298,563,261,197,82,253,256,1104,157,521,63,355,120,70,686,48,350,119,326,417,822,98,436,197,1578,967,580,37,994,1187,118,110,87,1417,339,11,1201,727,148,63,2595,1324,74,1062,2478,764,1363,416,832,1396,321,1355,1452,256,411,919,398,663,1390,1940,2439,1092,462,890,1769,1334,1425,1851,717,1494,1885,614,1031,1925,1037,1055,1747,1191
,Weighted base,3921,1856,2030,623,899,918,894,450,138,242,192,690,621,130,572,261,471,310,344,88,269,239,1065,131,506,69,344,108,65,701,60,353,154,382,462,855,109,387,225,1346,991,818,47,1200,676,116,72,67,1184,386,18,1415,577,169,105,2748,1090,84,1191,2258,733,1350,370,857,1400,264,1313,1480,194,357,903,400,660,1407,1853,2432,1090,399,897,1753,1271,1403,1849,669,1477,1879,565,998,1924,999,1069,1735,1116
,The Government should not redistribute income as people have a right to decide what to do with their own money,42%,42%,42%,37%,42%,42%,44%,43%,44%,39%,54%,47%,40%,28%,47%,30%,40%,36%,40%,55%,43%,48%,39%,47%,35%,37%,44%,47%,49%,47%,31%,43%,29%,44%,40%,38%,45%,45%,40%,45%,43%,35%,50%,43%,50%,32%,15%,46%,45%,50%,26%,38%,41%,49%,28%,42%,44%,21%,43%,41%,42%,44%,46%,42%,44%,46%,42%,44%,47%,49%,43%,26%,45%,44%,39%,41%,44%,42%,45%,43%,38%,44%,40%,41%,46%,40%,39%,45%,42%,37%,44%,41%,41%
,The Government should redistribute income from the better-off to those who are less well-off,47%,48%,46%,54%,47%,45%,44%,47%,44%,50%,35%,43%,50%,58%,47%,59%,49%,35%,52%,38%,43%,45%,51%,34%,52%,40%,46%,40%,42%,44%,40%,50%,50%,40%,49%,51%,45%,48%,40%,47%,46%,51%,38%,48%,43%,54%,32%,41%,46%,40%,57%,51%,48%,42%,40%,47%,47%,33%,45%,49%,50%,47%,50%,47%,46%,48%,48%,46%,46%,46%,49%,43%,40%,43%,52%,48%,44%,49%,42%,46%,53%,45%,48%,49%,43%,49%,51%,41%,46%,54%,43%,47%,51%
,Don't know,11%,10%,12%,9%,10%,13%,12%,10%,12%,11%,11%,10%,10%,14%,6%,11%,11%,29%,9%,8%,14%,7%,10%,20%,13%,23%,10%,13%,8%,9%,29%,6%,22%,16%,11%,11%,10%,6%,21%,8%,10%,14%,13%,9%,7%,14%,53%,12%,10%,9%,16%,11%,12%,9%,32%,11%,9%,46%,13%,10%,9%,9%,5%,11%,9%,6%,10%,9%,7%,5%,7%,30%,15%,13%,8%,11%,12%,9%,13%,11%,9%,11%,12%,10%,11%,11%,10%,13%,11%,9%,13%,12%,8%
,NET,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Q24 Which of these statements do you agree with the most, even if you don't agree with either entirely?",Unweighted base,3993,1736,2231,740,1016,966,694,447,130,276,148,744,677,64,683,298,563,261,197,82,253,256,1104,157,521,63,355,120,70,686,48,350,119,326,417,822,98,436,197,1578,967,580,37,994,1187,118,110,87,1417,339,11,1201,727,148,63,2595,1324,74,1062,2478,764,1363,416,832,1396,321,1355,1452,256,411,919,398,663,1390,1940,2439,1092,462,890,1769,1334,1425,1851,717,1494,1885,614,1031,1925,1037,1055,1747,1191
,Weighted base,3921,1856,2030,623,899,918,894,450,138,242,192,690,621,130,572,261,471,310,344,88,269,239,1065,131,506,69,344,108,65,701,60,353,154,382,462,855,109,387,225,1346,991,818,47,1200,676,116,72,67,1184,386,18,1415,577,169,105,2748,1090,84,1191,2258,733,1350,370,857,1400,264,1313,1480,194,357,903,400,660,1407,1853,2432,1090,399,897,1753,1271,1403,1849,669,1477,1879,565,998,1924,999,1069,1735,1116
,Immigration has enriched British culture and society,69%,67%,70%,73%,72%,67%,68%,62%,65%,71%,69%,68%,70%,64%,77%,66%,67%,51%,72%,66%,62%,73%,68%,68%,66%,51%,76%,60%,77%,71%,50%,71%,42%,55%,70%,73%,54%,72%,58%,74%,72%,65%,62%,73%,65%,64%,33%,57%,71%,67%,39%,70%,65%,74%,55%,73%,59%,35%,75%,66%,66%,71%,68%,64%,73%,62%,72%,72%,61%,59%,72%,61%,55%,64%,77%,73%,63%,55%,60%,70%,72%,67%,71%,64%,68%,69%,68%,62%,71%,71%,59%,72%,73%
,Immigration has undermined British culture and society,20%,22%,18%,15%,17%,19%,22%,27%,22%,17%,18%,23%,17%,17%,18%,23%,20%,20%,22%,21%,24%,15%,21%,17%,20%,16%,15%,25%,14%,20%,19%,21%,25%,26%,18%,17%,28%,20%,20%,19%,15%,20%,27%,19%,28%,20%,10%,36%,21%,25%,25%,16%,22%,21%,11%,16%,30%,9%,12%,23%,24%,21%,24%,23%,19%,32%,18%,19%,31%,34%,22%,5%,31%,22%,15%,16%,24%,33%,24%,18%,19%,20%,17%,26%,20%,18%,23%,24%,18%,20%,27%,16%,19%
,Don't know,12%,11%,12%,12%,11%,14%,10%,11%,13%,12%,13%,9%,12%,20%,5%,11%,13%,29%,6%,12%,14%,12%,11%,15%,14%,33%,9%,15%,9%,9%,31%,8%,32%,19%,12%,10%,19%,9%,22%,7%,12%,15%,11%,8%,7%,16%,57%,7%,9%,8%,35%,14%,13%,5%,34%,11%,11%,56%,13%,11%,10%,9%,7%,13%,8%,6%,10%,8%,8%,7%,6%,34%,15%,14%,9%,11%,13%,12%,15%,12%,9%,13%,11%,10%,12%,12%,10%,14%,11%,9%,14%,12%,9%
,NET,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Q25 Which of these statements do you agree with the most, even if you don't agree with either entirely?",Unweighted base,3993,1736,2231,740,1016,966,694,447,130,276,148,744,677,64,683,298,563,261,197,82,253,256,1104,157,521,63,355,120,70,686,48,350,119,326,417,822,98,436,197,1578,967,580,37,994,1187,118,110,87,1417,339,11,1201,727,148,63,2595,1324,74,1062,2478,764,1363,416,832,1396,321,1355,1452,256,411,919,398,663,1390,1940,2439,1092,462,890,1769,1334,1425,1851,717,1494,1885,614,1031,1925,1037,1055,1747,1191
,Weighted base,3921,1856,2030,623,899,918,894,450,138,242,192,690,621,130,572,261,471,310,344,88,269,239,1065,131,506,69,344,108,65,701,60,353,154,382,462,855,109,387,225,1346,991,818,47,1200,676,116,72,67,1184,386,18,1415,577,169,105,2748,1090,84,1191,2258,733,1350,370,857,1400,264,1313,1480,194,357,903,400,660,1407,1853,2432,1090,399,897,1753,1271,1403,1849,669,1477,1879,565,998,1924,999,1069,1735,1116
,People turn to crime because they have no other option and it is the only route available to them to better their lives,50%,50%,50%,59%,52%,49%,45%,46%,49%,49%,48%,49%,52%,50%,46%,47%,58%,39%,58%,50%,51%,50%,51%,42%,51%,48%,48%,53%,48%,51%,30%,49%,44%,43%,52%,54%,53%,54%,38%,50%,48%,52%,55%,50%,52%,46%,29%,57%,48%,49%,41%,50%,56%,56%,37%,48%,57%,27%,43%,54%,52%,47%,56%,49%,51%,47%,48%,48%,58%,55%,53%,47%,46%,45%,55%,51%,47%,50%,44%,48%,57%,47%,51%,53%,45%,53%,52%,47%,48%,57%,47%,48%,55%
,People who commit crimes do so because they're fundamentally bad people,35%,37%,33%,26%,34%,35%,40%,36%,33%,35%,35%,40%,33%,35%,43%,37%,26%,27%,29%,35%,33%,36%,35%,39%,32%,21%,34%,31%,38%,34%,43%,40%,31%,38%,33%,29%,31%,35%,37%,38%,35%,32%,26%,37%,36%,36%,16%,30%,37%,40%,35%,34%,29%,33%,22%,36%,32%,12%,39%,32%,37%,40%,37%,37%,35%,43%,37%,38%,35%,37%,33%,17%,40%,37%,31%,34%,35%,36%,40%,35%,29%,38%,33%,31%,41%,29%,35%,38%,36%,29%,37%,35%,31%
,Don't know,16%,13%,17%,15%,14%,16%,15%,18%,18%,16%,16%,12%,14%,15%,12%,16%,16%,34%,13%,15%,16%,14%,14%,19%,17%,31%,18%,16%,15%,15%,27%,11%,25%,18%,15%,18%,16%,11%,25%,12%,17%,16%,18%,13%,12%,19%,55%,14%,15%,11%,24%,16%,15%,11%,40%,16%,11%,61%,18%,14%,11%,13%,8%,14%,14%,10%,15%,14%,7%,8%,13%,36%,14%,18%,14%,15%,18%,14%,16%,17%,14%,14%,16%,17%,15%,17%,13%,15%,16%,14%,15%,17%,14%
,NET,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Q26 Which of these statements do you agree with the most, even if you don't agree with either entirely?",Unweighted base,3993,1736,2231,740,1016,966,694,447,130,276,148,744,677,64,683,298,563,261,197,82,253,256,1104,157,521,63,355,120,70,686,48,350,119,326,417,822,98,436,197,1578,967,580,37,994,1187,118,110,87,1417,339,11,1201,727,148,63,2595,1324,74,1062,2478,764,1363,416,832,1396,321,1355,1452,256,411,919,398,663,1390,1940,2439,1092,462,890,1769,1334,1425,1851,717,1494,1885,614,1031,1925,1037,1055,1747,1191
,Weighted base,3921,1856,2030,623,899,918,894,450,138,242,192,690,621,130,572,261,471,310,344,88,269,239,1065,131,506,69,344,108,65,701,60,353,154,382,462,855,109,387,225,1346,991,818,47,1200,676,116,72,67,1184,386,18,1415,577,169,105,2748,1090,84,1191,2258,733,1350,370,857,1400,264,1313,1480,194,357,903,400,660,1407,1853,2432,1090,399,897,1753,1271,1403,1849,669,1477,1879,565,998,1924,999,1069,1735,1116
,LGBTQ+ rights in this country have gone too far,47%,51%,45%,54%,49%,46%,44%,45%,49%,60%,43%,45%,56%,60%,47%,47%,42%,37%,42%,55%,43%,44%,51%,43%,48%,35%,49%,45%,39%,48%,17%,51%,42%,45%,48%,46%,44%,51%,48%,49%,46%,50%,41%,48%,49%,47%,29%,43%,46%,40%,23%,59%,35%,37%,20%,48%,47%,29%,48%,47%,54%,49%,55%,52%,47%,48%,47%,47%,56%,55%,47%,35%,49%,48%,46%,47%,48%,49%,50%,46%,47%,51%,44%,48%,49%,46%,48%,51%,47%,44%,56%,47%,39%
,LGBTQ+ rights have not gone far enough,25%,23%,27%,22%,25%,26%,27%,28%,22%,19%,28%,27%,17%,19%,26%,27%,34%,19%,33%,20%,25%,27%,26%,30%,22%,30%,22%,29%,29%,25%,33%,25%,18%,24%,24%,25%,26%,27%,18%,28%,21%,22%,42%,29%,31%,26%,10%,39%,28%,29%,49%,15%,37%,38%,30%,23%,33%,12%,20%,29%,24%,25%,27%,22%,27%,29%,25%,26%,29%,28%,30%,22%,24%,22%,28%,26%,23%,30%,23%,24%,29%,22%,26%,29%,22%,27%,29%,22%,24%,32%,18%,21%,39%
,Don't know,27%,26%,28%,24%,26%,28%,29%,27%,29%,21%,29%,28%,27%,22%,26%,26%,24%,44%,25%,25%,32%,29%,23%,28%,29%,35%,29%,26%,32%,27%,51%,24%,39%,32%,28%,29%,30%,22%,35%,23%,33%,28%,17%,24%,21%,27%,60%,18%,26%,31%,28%,26%,28%,25%,50%,29%,19%,58%,32%,24%,22%,26%,18%,26%,26%,23%,28%,28%,15%,17%,23%,43%,27%,30%,25%,28%,29%,21%,27%,30%,24%,27%,29%,22%,28%,28%,23%,27%,29%,24%,26%,31%,22%
,NET,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Q28 Which of these statements do you agree with the most, even if you don't agree with either entirely?",Unweighted base,3993,1736,2231,740,1016,966,694,447,130,276,148,744,677,64,683,298,563,261,197,82,253,256,1104,157,521,63,355,120,70,686,48,350,119,326,417,822,98,436,197,1578,967,580,37,994,1187,118,110,87,1417,339,11,1201,727,148,63,2595,1324,74,1062,2478,764,1363,416,832,1396,321,1355,1452,256,411,919,398,663,1390,1940,2439,1092,462,890,1769,1334,1425,1851,717,1494,1885,614,1031,1925,1037,1055,1747,1191
,Weighted base,3921,1856,2030,623,899,918,894,450,138,242,192,690,621,130,572,261,471,310,344,88,269,239,1065,131,506,69,344,108,65,701,60,353,154,382,462,855,109,387,225,1346,991,818,47,1200,676,116,72,67,1184,386,18,1415,577,169,105,2748,1090,84,1191,2258,733,1350,370,857,1400,264,1313,1480,194,357,903,400,660,1407,1853,2432,1090,399,897,1753,1271,1403,1849,669,1477,1879,565,998,1924,999,1069,1735,1116
,Discrimination against ethnic minorities continues to be far more significant than any discrimination against white peop,67%,62%,71%,73%,68%,67%,65%,62%,60%,69%,67%,68%,69%,67%,71%,75%,66%,48%,66%,59%,65%,66%,68%,57%,70%,59%,66%,50%,60%,69%,55%,71%,46%,61%,62%,74%,52%,68%,56%,71%,67%,66%,69%,72%,59%,71%,35%,58%,68%,64%,39%,69%,64%,79%,47%,71%,59%,38%,66%,67%,65%,67%,63%,65%,69%,62%,67%,71%,61%,56%,72%,63%,45%,59%,81%,75%,56%,46%,53%,68%,75%,63%,71%,64%,64%,69%,67%,58%,69%,71%,56%,67%,76%
,Discrimination against white people has become as big of a problem as discrimination against ethnic minorities,19%,23%,16%,17%,19%,19%,18%,26%,22%,17%,18%,18%,18%,19%,20%,18%,20%,21%,19%,26%,17%,22%,21%,23%,18%,9%,21%,29%,26%,16%,15%,18%,25%,20%,22%,15%,34%,23%,19%,18%,17%,18%,12%,17%,30%,15%,9%,28%,21%,19%,39%,17%,21%,15%,25%,16%,29%,11%,16%,21%,22%,21%,28%,21%,19%,29%,19%,17%,30%,35%,19%,4%,33%,22%,12%,13%,27%,40%,27%,18%,16%,21%,16%,25%,21%,17%,23%,25%,16%,19%,25%,18%,15%
,Don't know,14%,15%,13%,10%,13%,15%,17%,12%,18%,14%,15%,14%,12%,14%,9%,8%,13%,31%,15%,15%,18%,11%,11%,21%,12%,31%,14%,21%,14%,15%,29%,12%,29%,19%,17%,11%,14%,9%,25%,11%,16%,15%,19%,11%,10%,15%,56%,15%,12%,17%,23%,14%,15%,7%,28%,14%,12%,52%,18%,12%,13%,12%,9%,14%,13%,8%,14%,12%,9%,9%,8%,32%,22%,19%,7%,13%,17%,14%,20%,15%,9%,16%,13%,11%,16%,14%,10%,17%,14%,10%,19%,14%,9%
,NET,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Q27 Which of these statements do you agree with the most, even if you don't agree with either entirely?",Unweighted base,3993,1736,2231,740,1016,966,694,447,130,276,148,744,677,64,683,298,563,261,197,82,253,256,1104,157,521,63,355,120,70,686,48,350,119,326,417,822,98,436,197,1578,967,580,37,994,1187,118,110,87,1417,339,11,1201,727,148,63,2595,1324,74,1062,2478,764,1363,416,832,1396,321,1355,1452,256,411,919,398,663,1390,1940,2439,1092,462,890,1769,1334,1425,1851,717,1494,1885,614,1031,1925,1037,1055,1747,1191
,Weighted base,3921,1856,2030,623,899,918,894,450,138,242,192,690,621,130,572,261,471,310,344,88,269,239,1065,131,506,69,344,108,65,701,60,353,154,382,462,855,109,387,225,1346,991,818,47,1200,676,116,72,67,1184,386,18,1415,577,169,105,2748,1090,84,1191,2258,733,1350,370,857,1400,264,1313,1480,194,357,903,400,660,1407,1853,2432,1090,399,897,1753,1271,1403,1849,669,1477,1879,565,998,1924,999,1069,1735,1116
,The UK should increase spending on overseas aid to other countries,34%,35%,33%,41%,35%,34%,29%,30%,30%,35%,29%,29%,38%,32%,44%,28%,25%,27%,45%,40%,30%,34%,36%,39%,35%,21%,31%,29%,31%,33%,8%,40%,24%,24%,32%,32%,27%,35%,31%,40%,36%,29%,32%,33%,41%,20%,14%,37%,36%,29%,11%,37%,27%,25%,25%,32%,39%,20%,34%,34%,35%,34%,41%,33%,33%,47%,36%,34%,41%,43%,34%,22%,32%,30%,37%,34%,32%,40%,32%,33%,36%,33%,34%,35%,33%,33%,38%,34%,34%,34%,33%,31%,38%
,The UK should cut spending on overseas aid to other countries,49%,51%,46%,40%,46%,48%,54%,53%,57%,49%,57%,56%,46%,45%,41%,55%,53%,40%,44%,45%,50%,50%,49%,39%,47%,41%,52%,51%,42%,51%,55%,42%,49%,57%,49%,48%,54%,51%,45%,46%,45%,52%,47%,51%,47%,50%,27%,53%,47%,58%,66%,45%,51%,60%,43%,49%,49%,20%,48%,49%,52%,51%,47%,51%,52%,44%,47%,52%,48%,46%,52%,35%,50%,52%,45%,48%,51%,47%,50%,49%,47%,50%,47%,50%,51%,47%,49%,49%,49%,49%,51%,49%,45%
,Don't know,18%,14%,21%,19%,18%,18%,17%,17%,13%,16%,14%,15%,17%,23%,15%,18%,22%,33%,11%,14%,20%,16%,15%,22%,18%,38%,16%,20%,27%,16%,38%,18%,26%,20%,18%,21%,18%,14%,24%,14%,19%,19%,21%,15%,12%,30%,59%,10%,16%,14%,23%,18%,21%,14%,32%,19%,12%,60%,18%,17%,14%,14%,12%,16%,15%,10%,17%,14%,10%,11%,14%,43%,18%,18%,17%,18%,18%,13%,18%,18%,17%,17%,19%,15%,17%,20%,13%,18%,18%,18%,15%,20%,17%
,NET,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Q29 Which of these statements do you agree with the most, even if you don't agree with either entirely?",Unweighted base,3993,1736,2231,740,1016,966,694,447,130,276,148,744,677,64,683,298,563,261,197,82,253,256,1104,157,521,63,355,120,70,686,48,350,119,326,417,822,98,436,197,1578,967,580,37,994,1187,118,110,87,1417,339,11,1201,727,148,63,2595,1324,74,1062,2478,764,1363,416,832,1396,321,1355,1452,256,411,919,398,663,1390,1940,2439,1092,462,890,1769,1334,1425,1851,717,1494,1885,614,1031,1925,1037,1055,1747,1191
,Weighted base,3921,1856,2030,623,899,918,894,450,138,242,192,690,621,130,572,261,471,310,344,88,269,239,1065,131,506,69,344,108,65,701,60,353,154,382,462,855,109,387,225,1346,991,818,47,1200,676,116,72,67,1184,386,18,1415,577,169,105,2748,1090,84,1191,2258,733,1350,370,857,1400,264,1313,1480,194,357,903,400,660,1407,1853,2432,1090,399,897,1753,1271,1403,1849,669,1477,1879,565,998,1924,999,1069,1735,1116
,People who are struggling to get by have a right to seek help from the Government,58%,56%,60%,70%,59%,59%,54%,52%,47%,66%,50%,53%,65%,56%,62%,63%,63%,48%,53%,50%,56%,53%,57%,59%,62%,51%,59%,56%,59%,61%,51%,60%,47%,57%,60%,65%,59%,52%,52%,58%,60%,66%,54%,57%,52%,54%,34%,58%,57%,44%,59%,63%,63%,52%,50%,60%,55%,39%,57%,60%,64%,57%,59%,56%,59%,48%,62%,58%,50%,58%,62%,53%,49%,55%,64%,61%,53%,54%,50%,55%,69%,57%,60%,56%,57%,59%,58%,51%,60%,63%,55%,57%,63%
